# serverNavGame scene layout v1
# preset  tx ty tz  rx ry rz  sx sy sz
flat_vase  0.000 0.000 2.003  0.000 0.000 0.000  1.000 1.000 1.000
rock  1.323 0.333 3.537  0.000 0.000 0.000  1.000 1.000 1.000
tree  -2.324 0.282 5.882  0.000 1.779 0.000  1.000 1.000 1.000
tree  3.993 0.324 -3.465  0.000 2.213 0.000  1.000 1.000 1.000
tree  3.515 0.365 5.252  0.000 -0.596 0.000  1.000 1.000 1.000
grass  -0.647 0.580 3.531  0.000 0.000 0.000  1.000 1.000 1.000
grass  0.190 0.525 2.248  0.000 0.000 0.000  1.000 1.000 1.000
grass  -1.486 0.598 2.232  0.000 0.679 0.000  1.000 1.000 1.000
grass  -2.042 0.529 3.775  0.000 2.061 0.000  1.000 1.000 1.000
grass  -0.702 0.450 0.663  0.000 0.000 0.000  1.000 1.000 1.000
grass  1.019 0.446 0.961  0.000 0.000 0.000  1.000 1.000 1.000
flat_vase  -3.081 0.464 2.775  0.000 0.000 0.000  1.000 1.000 1.000
flat_vase  2.799 0.561 1.847  0.000 0.000 0.000  1.000 1.000 1.000
flat_vase  1.728 0.569 -3.569  0.000 0.000 0.000  1.000 1.000 1.000
